,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,total_number_of_click,total_score,externalquiz,forumng,glossary,homepage,oucontent,ouelluminate,ouwiki,page,resource,subpage,url,date_registration,date_unregistration
64,1,1,159925,0,9,2,8,0,2,70,0,1,2466.0,97.42,16.0,190.0,27.0,170.0,31.0,1.0,43.0,2.0,131.0,382.0,63.0,-128.0,0.0
65,1,1,160005,0,10,3,1,1,0,60,0,1,3922.0,159.375,38.0,456.0,0.0,197.0,85.0,31.0,31.0,1.0,99.0,377.0,229.0,-89.0,0.0
66,1,1,160401,1,3,2,8,0,1,60,0,0,86.0,0.9400000000000001,2.0,6.0,0.0,5.0,2.0,0.0,0.0,1.0,6.0,15.0,10.0,-116.0,96.0
67,1,1,162984,1,9,0,2,1,2,220,0,0,93.0,0.8,1.0,14.0,0.0,11.0,2.0,0.0,1.0,0.0,4.0,12.0,3.0,-81.0,54.0
68,1,1,163067,0,12,1,4,0,0,60,0,1,998.0,118.92999999999999,17.0,60.0,0.0,91.0,71.0,4.0,14.0,0.0,30.0,115.0,46.0,-72.0,0.0
69,1,1,165421,1,2,3,0,1,0,60,0,1,1178.0,97.25,16.0,8.0,1.0,64.0,28.0,4.0,10.0,1.0,90.0,126.0,38.0,-19.0,0.0
70,1,1,165733,1,10,2,2,0,0,60,1,1,2275.0,103.39,26.0,171.0,0.0,130.0,35.0,13.0,15.0,3.0,86.0,304.0,94.0,-99.0,0.0
71,1,1,166342,1,5,2,0,0,0,60,0,1,810.0,162.995,9.0,60.0,1.0,52.0,13.0,6.0,8.0,1.0,42.0,151.0,28.0,-27.0,0.0
72,1,1,166713,1,5,1,3,0,0,60,0,1,2223.0,155.73999999999998,23.0,157.0,0.0,136.0,61.0,2.0,19.0,0.0,110.0,225.0,57.0,-29.0,0.0
73,1,1,166988,0,9,3,7,0,0,90,0,1,922.0,133.265,18.0,35.0,0.0,83.0,27.0,1.0,10.0,1.0,73.0,178.0,60.0,-37.0,0.0
74,1,1,167123,1,12,1,2,0,1,160,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-136.0,-122.0
75,1,1,167717,1,9,2,4,0,0,60,0,1,286.0,18.05,4.0,16.0,1.0,20.0,11.0,1.0,2.0,1.0,18.0,31.0,14.0,-25.0,0.0
76,1,1,168243,1,4,1,2,0,2,180,1,0,161.0,0.6,1.0,3.0,0.0,9.0,6.0,0.0,0.0,0.0,18.0,18.0,13.0,-99.0,44.0
77,1,1,169894,1,11,3,2,0,0,60,0,0,469.0,19.07,4.0,33.0,0.0,26.0,11.0,2.0,6.0,0.0,24.0,39.0,37.0,-37.0,82.0
78,1,1,170025,0,0,3,9,0,0,60,0,1,617.0,104.435,11.0,12.0,1.0,48.0,21.0,1.0,4.0,2.0,66.0,162.0,51.0,-89.0,0.0
79,1,1,171896,0,12,2,4,0,0,60,0,1,2082.0,144.665,13.0,196.0,0.0,127.0,37.0,46.0,30.0,5.0,56.0,175.0,67.0,-24.0,0.0
80,1,1,173004,0,2,3,6,0,0,90,0,0,1427.0,63.48,45.0,107.0,0.0,94.0,26.0,3.0,25.0,1.0,46.0,289.0,22.0,-59.0,209.0
81,1,1,176092,0,11,2,8,1,0,70,0,1,1201.0,98.19,7.0,123.0,0.0,109.0,28.0,2.0,20.0,2.0,52.0,99.0,26.0,-66.0,0.0
82,1,1,177333,0,10,1,3,0,0,120,0,1,1049.0,95.88,34.0,123.0,0.0,108.0,26.0,3.0,19.0,2.0,58.0,152.0,26.0,-34.0,0.0
83,1,1,177817,1,1,3,8,0,0,120,0,0,388.0,43.785,12.0,10.0,0.0,44.0,19.0,0.0,5.0,1.0,24.0,50.0,12.0,-22.0,222.0
84,1,1,177981,0,10,3,4,0,1,60,0,1,1746.0,143.6,24.0,97.0,4.0,97.0,37.0,14.0,13.0,1.0,89.0,253.0,53.0,-16.0,0.0
85,1,1,178639,1,6,1,0,1,0,60,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.0,0.0
86,1,1,179892,0,9,3,1,0,0,60,0,1,2737.0,140.68,7.0,135.0,4.0,138.0,57.0,1.0,35.0,3.0,88.0,355.0,75.0,-110.0,0.0
87,1,1,180667,1,6,2,6,1,0,60,0,1,1766.0,120.37,20.0,246.0,1.0,97.0,16.0,7.0,19.0,0.0,103.0,272.0,128.0,-28.0,0.0
88,1,1,180958,1,10,2,1,0,1,150,1,1,2785.0,133.01000000000002,39.0,158.0,10.0,193.0,62.0,5.0,49.0,1.0,105.0,420.0,60.0,-79.0,0.0
89,1,1,183714,1,11,1,4,0,0,60,1,1,3289.0,125.89,48.0,287.0,0.0,219.0,65.0,19.0,26.0,3.0,149.0,358.0,173.0,-310.0,0.0
90,1,1,184968,0,12,1,7,0,1,120,0,0,443.0,16.13,2.0,4.0,2.0,19.0,11.0,3.0,4.0,2.0,15.0,64.0,19.0,-64.0,74.0
91,1,1,187623,1,1,2,7,0,0,60,0,1,522.0,93.065,7.0,11.0,0.0,46.0,21.0,3.0,11.0,0.0,17.0,37.0,11.0,-72.0,0.0
92,1,1,191195,0,10,1,1,0,0,120,1,1,556.0,36.39,10.0,54.0,0.0,75.0,22.0,0.0,4.0,1.0,31.0,128.0,21.0,-45.0,0.0
93,1,1,191398,1,6,1,3,0,1,210,0,0,13.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-86.0,27.0
94,1,1,191491,0,8,1,1,1,0,60,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129.0,-5.0
95,1,1,191896,0,9,1,1,1,0,60,0,1,1338.0,84.645,40.0,59.0,0.0,77.0,31.0,1.0,23.0,0.0,66.0,267.0,33.0,-111.0,0.0
96,1,1,191972,1,2,2,4,0,4,120,0,1,3941.0,127.405,13.0,275.0,0.0,228.0,54.0,12.0,46.0,0.0,102.0,306.0,114.0,-227.0,0.0
97,1,1,192196,1,9,1,4,1,0,60,0,1,625.0,107.2,8.0,61.0,0.0,46.0,23.0,6.0,12.0,1.0,33.0,73.0,17.0,-31.0,0.0
98,1,1,196266,0,10,1,1,0,0,240,0,1,178.0,4.7749999999999995,2.0,12.0,0.0,17.0,9.0,2.0,3.0,1.0,15.0,26.0,11.0,-60.0,0.0
99,1,1,196902,0,4,2,7,0,3,60,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.0,-30.0
100,1,1,198470,0,11,2,3,0,0,60,0,0,262.0,14.52,3.0,6.0,0.0,17.0,9.0,0.0,7.0,1.0,21.0,24.0,9.0,-22.0,81.0
101,1,1,199782,1,4,1,4,0,0,60,0,1,366.0,1.125,2.0,47.0,0.0,23.0,8.0,0.0,1.0,0.0,10.0,20.0,7.0,-100.0,0.0
102,1,1,200588,1,9,2,2,0,1,150,0,1,348.0,4.109999999999999,3.0,27.0,0.0,26.0,14.0,0.0,2.0,1.0,13.0,32.0,7.0,-16.0,0.0
103,1,1,200957,1,11,2,4,0,1,120,0,1,26.0,0.74,4.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,7.0,2.0,-88.0,0.0
104,1,1,202506,1,10,3,2,0,1,150,0,1,129.0,6.085,3.0,9.0,0.0,16.0,7.0,2.0,2.0,1.0,4.0,22.0,9.0,-140.0,0.0
105,1,1,204996,1,9,3,4,0,0,120,0,1,1048.0,154.48999999999998,10.0,95.0,0.0,83.0,36.0,0.0,23.0,0.0,60.0,96.0,48.0,-55.0,0.0
106,1,1,227491,0,7,2,1,0,0,60,0,0,1555.0,28.59,26.0,142.0,4.0,94.0,20.0,24.0,22.0,3.0,64.0,258.0,41.0,-71.0,143.0
107,1,1,228242,0,0,3,4,0,1,145,0,1,983.0,38.945,24.0,50.0,0.0,66.0,22.0,1.0,5.0,0.0,53.0,213.0,16.0,-25.0,0.0
108,1,1,228543,0,0,1,1,0,4,60,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-207.0,0.0
109,1,1,229057,0,9,1,2,0,3,120,0,1,220.0,2.47,5.0,4.0,1.0,13.0,7.0,0.0,0.0,3.0,11.0,36.0,12.0,-85.0,0.0
110,1,1,230052,1,6,2,9,0,0,180,0,0,833.0,10.485,5.0,139.0,0.0,48.0,16.0,4.0,13.0,0.0,17.0,45.0,32.0,-25.0,82.0
111,1,1,233389,0,7,1,1,0,1,120,0,1,876.0,48.37,8.0,42.0,0.0,119.0,36.0,16.0,13.0,0.0,29.0,84.0,36.0,-96.0,0.0
112,1,1,233771,1,11,2,2,0,0,60,0,1,1998.0,151.89000000000001,21.0,265.0,0.0,181.0,58.0,5.0,19.0,2.0,59.0,174.0,53.0,-24.0,0.0
113,1,1,234740,1,7,1,0,0,0,60,0,1,3964.0,135.75,22.0,403.0,1.0,198.0,57.0,94.0,58.0,1.0,102.0,172.0,104.0,-23.0,0.0
114,1,1,234859,0,9,2,7,0,0,60,0,1,401.0,126.88,8.0,24.0,0.0,48.0,17.0,0.0,7.0,0.0,19.0,50.0,15.0,-122.0,0.0
115,1,1,234978,1,8,2,9,0,2,130,0,1,157.0,19.485,4.0,0.0,0.0,29.0,7.0,0.0,2.0,1.0,12.0,11.0,10.0,-3.0,0.0
116,1,1,235428,1,9,1,2,1,0,60,0,0,1139.0,28.355,14.0,79.0,0.0,53.0,15.0,5.0,44.0,0.0,76.0,174.0,46.0,-22.0,222.0
117,1,1,235492,1,5,2,0,1,0,60,0,1,337.0,10.969999999999999,2.0,21.0,0.0,19.0,10.0,5.0,5.0,1.0,18.0,26.0,8.0,-24.0,0.0
118,1,1,235584,0,8,3,8,0,0,90,0,1,323.0,5.475,5.0,0.0,0.0,13.0,7.0,0.0,2.0,3.0,16.0,32.0,32.0,-54.0,0.0
119,1,1,236498,0,3,3,3,0,0,60,0,1,1542.0,86.185,32.0,69.0,0.0,90.0,44.0,8.0,22.0,0.0,108.0,348.0,12.0,-53.0,0.0
120,1,1,236620,1,8,2,3,1,0,60,0,1,2290.0,132.075,50.0,186.0,0.0,176.0,68.0,23.0,36.0,0.0,99.0,348.0,60.0,-108.0,0.0
121,1,1,240389,0,8,3,8,1,0,120,0,0,1080.0,37.78,20.0,81.0,0.0,66.0,17.0,2.0,19.0,0.0,33.0,224.0,35.0,-237.0,177.0
122,1,1,240755,1,9,2,9,0,0,90,0,0,592.0,47.03,7.0,60.0,0.0,60.0,33.0,0.0,12.0,0.0,19.0,67.0,38.0,-23.0,206.0
123,1,1,240936,1,12,2,8,0,1,90,0,1,52.0,7.125,1.0,5.0,0.0,6.0,5.0,0.0,0.0,0.0,2.0,9.0,5.0,-116.0,0.0
124,1,1,241771,0,12,3,4,0,0,60,0,1,681.0,68.965,15.0,10.0,1.0,61.0,32.0,4.0,11.0,0.0,36.0,224.0,25.0,-16.0,0.0
125,1,1,241922,0,6,3,2,0,0,60,0,1,1477.0,112.32,30.0,179.0,0.0,116.0,22.0,12.0,34.0,1.0,97.0,170.0,76.0,-55.0,0.0
126,1,1,241971,1,11,2,6,1,0,60,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-1.0
127,1,1,244875,1,0,2,3,0,0,60,0,1,1359.0,118.11,25.0,109.0,0.0,80.0,25.0,10.0,21.0,0.0,72.0,148.0,36.0,-23.0,0.0
128,1,1,244919,1,3,1,0,0,2,60,0,0,998.0,42.57,18.0,93.0,0.0,82.0,38.0,6.0,11.0,1.0,48.0,87.0,17.0,-30.0,131.0
129,1,1,246652,1,4,3,1,1,0,120,0,1,3796.0,132.85999999999999,31.0,187.0,9.0,177.0,61.0,8.0,28.0,0.0,113.0,400.0,106.0,-208.0,0.0
130,1,1,248511,0,11,2,6,1,4,120,0,1,842.0,93.665,9.0,55.0,0.0,84.0,19.0,8.0,13.0,1.0,57.0,100.0,36.0,-140.0,0.0
131,1,1,248994,0,4,1,0,0,0,60,0,1,2728.0,167.875,37.0,209.0,9.0,224.0,35.0,13.0,35.0,1.0,106.0,425.0,283.0,-79.0,0.0
132,1,1,249423,0,7,2,8,1,0,60,0,1,1312.0,95.885,28.0,136.0,0.0,107.0,15.0,14.0,24.0,2.0,37.0,179.0,52.0,-43.0,0.0
133,1,1,249996,0,12,1,3,0,2,150,0,1,1420.0,29.515,11.0,100.0,24.0,77.0,19.0,28.0,12.0,1.0,87.0,206.0,45.0,-23.0,0.0
134,1,1,251999,0,5,2,4,0,1,280,0,1,2482.0,95.16,23.0,137.0,37.0,114.0,50.0,8.0,21.0,2.0,72.0,221.0,63.0,-30.0,0.0
135,1,1,252149,0,8,2,2,0,1,60,0,1,704.0,170.46,7.0,30.0,0.0,47.0,36.0,0.0,5.0,0.0,63.0,108.0,16.0,-29.0,0.0
136,1,1,252489,0,8,2,8,0,0,60,1,1,1054.0,100.975,15.0,124.0,2.0,84.0,13.0,1.0,15.0,2.0,61.0,151.0,53.0,-36.0,0.0
137,1,1,255747,0,8,1,8,0,2,60,0,1,2736.0,77.445,55.0,163.0,0.0,144.0,96.0,7.0,18.0,1.0,90.0,172.0,66.0,-54.0,0.0
138,1,1,255902,0,8,4,9,1,0,60,0,1,473.0,58.06,11.0,9.0,0.0,28.0,14.0,2.0,9.0,0.0,35.0,64.0,27.0,-24.0,0.0
139,1,1,257110,0,11,2,5,0,0,115,0,0,31.0,0.34,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,9.0,5.0,-50.0,33.0
140,1,1,257369,1,6,2,8,0,0,180,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-183.0,-117.0
141,1,1,258310,1,7,2,0,0,1,120,0,0,667.0,25.995,20.0,85.0,0.0,78.0,17.0,1.0,6.0,4.0,19.0,56.0,27.0,-92.0,144.0
142,1,1,259750,1,12,1,3,0,0,60,0,1,38.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,9.0,2.0,-54.0,0.0
143,1,1,260491,0,0,2,4,0,0,60,0,1,3201.0,162.56,43.0,345.0,26.0,193.0,56.0,16.0,24.0,1.0,77.0,271.0,79.0,-149.0,0.0
144,1,1,260639,1,12,2,6,0,1,120,1,1,476.0,20.895,3.0,40.0,0.0,38.0,19.0,0.0,10.0,0.0,14.0,83.0,8.0,-4.0,0.0
145,1,1,262396,0,0,1,8,0,0,60,1,1,164.0,5.55,3.0,13.0,0.0,9.0,7.0,2.0,1.0,1.0,12.0,13.0,9.0,3.0,0.0
146,1,1,263524,0,10,1,6,0,0,60,0,0,952.0,34.62,15.0,41.0,0.0,46.0,36.0,4.0,10.0,0.0,35.0,70.0,13.0,-25.0,179.0
147,1,1,266450,1,6,2,2,0,0,60,0,1,1203.0,82.24,22.0,97.0,0.0,91.0,38.0,4.0,17.0,0.0,39.0,194.0,22.0,-97.0,0.0
148,1,1,266514,1,5,2,4,1,1,60,0,1,1625.0,102.52499999999999,8.0,226.0,0.0,136.0,31.0,9.0,30.0,0.0,44.0,111.0,17.0,-50.0,0.0
149,1,1,266757,0,8,2,2,0,2,60,0,0,655.0,24.52,6.0,44.0,0.0,51.0,31.0,2.0,3.0,1.0,12.0,91.0,29.0,-36.0,150.0
150,1,1,266762,0,4,2,9,0,2,120,0,1,222.0,0.0,0.0,14.0,1.0,17.0,2.0,0.0,2.0,2.0,22.0,48.0,12.0,-174.0,0.0
151,1,1,269676,1,6,1,2,1,0,70,0,1,3185.0,139.055,87.0,68.0,0.0,181.0,93.0,9.0,32.0,3.0,150.0,329.0,194.0,-29.0,0.0
152,1,1,270435,1,3,1,1,0,0,90,0,1,588.0,4.065,7.0,8.0,0.0,29.0,24.0,3.0,2.0,1.0,28.0,82.0,21.0,-47.0,0.0
153,1,1,270468,0,7,1,0,0,0,60,0,1,168.0,1.06,4.0,3.0,0.0,5.0,5.0,0.0,0.0,0.0,23.0,47.0,23.0,-117.0,0.0
